date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:57	24847/24847	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2002%20Dec%202013%2011:52:57%20GMT	http://ccna.smarthand.ro/	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/index.html	(from )
12:52:58	42/42	---M-Z	200	added ('OK')	text/plain	date:Mon,%2002%20Dec%202013%2011:52:57%20GMT	http://ccna.smarthand.ro/xmlrpc.php	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/xmlrpc.php	(from http://ccna.smarthand.ro/)
12:52:58	1892/1892	---M--	200	added ('OK')	text/xml	etag:%22eaa6f8c248a8911505fa2b149b1a2be9%22	http://ccna.smarthand.ro/feed	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/feed	(from http://ccna.smarthand.ro/)
12:52:59	5877/5877	---M--	200	added ('OK')	text/xml	etag:%22fc0eefd9714dec8e3e0d2cfdd0c35e55%22	http://ccna.smarthand.ro/comments/feed	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/comments/feed	(from http://ccna.smarthand.ro/)
12:52:59	5430/5430	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Aug%202013%2000:15:27%20GMT	http://ccna.smarthand.ro/wp-content/plugins/wp-filebase/wp-filebase_css.php?rp=wp-content%2Fuploads%2Ffilebase&ver=0.3.0.02	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/wp-content/plugins/wp-filebase/wp-filebase_css824a.css	(from http://ccna.smarthand.ro/)
12:52:59	3620/3620	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Oct%202013%2020:29:44%20GMT	http://ccna.smarthand.ro/wp-content/plugins/spam-free-wordpress/css/sfw-comment-style.css?1381004984	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/wp-content/plugins/spam-free-wordpress/css/sfw-comment-style3a17.css	(from http://ccna.smarthand.ro/)
12:53:00	2826/2826	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202013%2016:59:54%20GMT	http://ccna.smarthand.ro/wp-content/plugins/wp-polls/polls-css.css?ver=2.63	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/wp-content/plugins/wp-polls/polls-css4d49.css	(from http://ccna.smarthand.ro/)
12:53:01	140036/140036	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Nov%202013%2012:19:55%20GMT	http://ccna.smarthand.ro/wp-content/themes/snowblind/style.css?ver=3.7.1	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/wp-content/themes/snowblind/stylef43b.css	(from http://ccna.smarthand.ro/)
12:53:01	1904/1904	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202013%2017:00:31%20GMT	http://ccna.smarthand.ro/wp-content/plugins/wp-downloadmanager/download-css.css?ver=1.50	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/wp-content/plugins/wp-downloadmanager/download-css66e0.css	(from http://ccna.smarthand.ro/)
12:53:02	1604/1604	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Jun%202013%2019:58:14%20GMT	http://ccna.smarthand.ro/wp-content/plugins/custom-post-donations/scripts/cp-donations.js?ver=3.7.1	R:/XAMPP/htdocs/ciscoanswers/ciscoanswers/ccna.smarthand.ro/wp-content/plugins/custom-post-donations/scripts/cp-donationsf43b.js	(from http://ccna.smarthand.ro/)
