date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:35	151/151	---M-Z	200	added ('OK')	text/plain	etag:%224940ad30-99b2-449d-b215-99e898f99880%22	http://aiubproblemsolver.blogspot.de/robots.txt		(from )
21:36:35	195452/195452	---M-Z	200	added ('OK')	text/html	etag:%224940ad30-99b2-449d-b215-99e898f99880%22	http://aiubproblemsolver.blogspot.de/	R:/XAMPP/htdocs/ciscoanswers/html/html/aiubproblemsolver.blogspot.de/index.html	(from )
21:36:36	3638/3638	---M-Z	200	added ('OK')	image/x-icon	etag:%224940ad30-99b2-449d-b215-99e898f99880%22	http://aiubproblemsolver.blogspot.de/favicon.ico	R:/XAMPP/htdocs/ciscoanswers/html/html/aiubproblemsolver.blogspot.de/favicon.ico	(from http://aiubproblemsolver.blogspot.de/)
21:36:37	34974/34974	---MC-	200	added ('OK')	text/css	date:Wed,%2023%20Oct%202013%2022:46:41%20GMT	http://www.blogger.com/static/v1/widgets/2023635439-widget_css_2_bundle.css	R:/XAMPP/htdocs/ciscoanswers/html/html/www.blogger.com/static/v1/widgets/2023635439-widget_css_2_bundle.css	(from http://aiubproblemsolver.blogspot.de/)
21:36:37	1/1	---MC-	200	added ('OK')	text/css	date:Tue,%2005%20Nov%202013%2020:36:42%20GMT	http://www.blogger.com/dyn-css/authorization.css?targetBlogID=2399680429478225239&zx=4940ad30-99b2-449d-b215-99e898f99880	R:/XAMPP/htdocs/ciscoanswers/html/html/www.blogger.com/dyn-css/authorizationa23c.css	(from http://aiubproblemsolver.blogspot.de/)
21:36:38	95/95	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Nov%202013%2001:42:17%20GMT	http://www.blogblog.com/1kt/watermark/post_background_navigator.png	R:/XAMPP/htdocs/ciscoanswers/html/html/www.blogblog.com/1kt/watermark/post_background_navigator.png	(from http://aiubproblemsolver.blogspot.de/)
21:36:42	35181/35181	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Oct%202013%2017:33:04%20GMT	http://www.blogblog.com/1kt/watermark/body_background_navigator.png	R:/XAMPP/htdocs/ciscoanswers/html/html/www.blogblog.com/1kt/watermark/body_background_navigator.png	(from http://aiubproblemsolver.blogspot.de/)
21:36:42	32993/32993	---MC-	200	added ('OK')	application/javascript	etag:%2210223fdd94ac07af3bc4cf2888090fcf%22	https://apis.google.com/js/plusone.js	R:/XAMPP/htdocs/ciscoanswers/html/html/apis.google.com/js/plusone.js	(from http://aiubproblemsolver.blogspot.de/)
21:36:44	5868/5868	---MC-	200	added ('OK')	text/javascript	etag:5892566358262920700	http://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	R:/XAMPP/htdocs/ciscoanswers/html/html/pagead2.googlesyndication.com/pagead/js/google_top_exp.js	(from http://aiubproblemsolver.blogspot.de/)
21:36:44	196397/196397	---M-Z	200	added ('OK')	text/html	etag:%224940ad30-99b2-449d-b215-99e898f99880%22	http://aiubproblemsolver.blogspot.de/2013/09/cisco-it-essentials-v-50-final-exam.html	R:/XAMPP/htdocs/ciscoanswers/html/html/aiubproblemsolver.blogspot.de/2013/09/cisco-it-essentials-v-50-final-exam.html	(from http://aiubproblemsolver.blogspot.de/)
21:36:44	162/162	---M--	200	added ('OK')	image/gif	date:Thu,%2031%20Oct%202013%2017:33:04%20GMT	http://img2.blogblog.com/img/icon18_edit_allbkg.gif	R:/XAMPP/htdocs/ciscoanswers/html/html/img2.blogblog.com/img/icon18_edit_allbkg.gif	(from http://aiubproblemsolver.blogspot.de/)
21:36:46	138225/138225	---M-Z	200	added ('OK')	text/html	etag:%224940ad30-99b2-449d-b215-99e898f99880%22	http://aiubproblemsolver.blogspot.de/search?updated-max=2013-09-15T19:22:00-07:00&max-results=7	R:/XAMPP/htdocs/ciscoanswers/html/html/aiubproblemsolver.blogspot.de/search98fd.html	(from http://aiubproblemsolver.blogspot.de/)
21:36:46	196282/196282	---M-Z	200	added ('OK')	text/html	etag:%224940ad30-99b2-449d-b215-99e898f99880%22	http://aiubproblemsolver.blogspot.de/search?updated-min=2013-01-01T00:00:00-08:00&updated-max=2014-01-01T00:00:00-08:00&max-results=13	R:/XAMPP/htdocs/ciscoanswers/html/html/aiubproblemsolver.blogspot.de/search541f.html	(from http://aiubproblemsolver.blogspot.de/)
21:36:46	195273/195273	---M-Z	200	added ('OK')	text/html	etag:%224940ad30-99b2-449d-b215-99e898f99880%22	http://aiubproblemsolver.blogspot.de/2013_09_01_archive.html	R:/XAMPP/htdocs/ciscoanswers/html/html/aiubproblemsolver.blogspot.de/2013_09_01_archive.html	(from http://aiubproblemsolver.blogspot.de/)
21:36:47	194582/194582	---M-Z	200	added ('OK')	text/html	etag:%224940ad30-99b2-449d-b215-99e898f99880%22	http://aiubproblemsolver.blogspot.de/2013_07_01_archive.html	R:/XAMPP/htdocs/ciscoanswers/html/html/aiubproblemsolver.blogspot.de/2013_07_01_archive.html	(from http://aiubproblemsolver.blogspot.de/)
21:36:49	475/475	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Oct%202013%2017:33:04%20GMT	http://img1.blogblog.com/img/icon18_wrench_allbkg.png	R:/XAMPP/htdocs/ciscoanswers/html/html/img1.blogblog.com/img/icon18_wrench_allbkg.png	(from http://aiubproblemsolver.blogspot.de/)
21:36:49	7634/7634	---M--	200	added ('OK')	image/jpeg	etag:%22v6%22	http://1.bp.blogspot.com/-pVReoZZRF3w/UfJE6x_lgkI/AAAAAAAAAAU/cRBoG0i9BM0/s220/url.jpg	R:/XAMPP/htdocs/ciscoanswers/html/html/1.bp.blogspot.com/-pVReoZZRF3w/UfJE6x_lgkI/AAAAAAAAAAU/cRBoG0i9BM0/s220/url.jpg	(from http://aiubproblemsolver.blogspot.de/)
21:36:49	279/279	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Oct%202013%2017:33:04%20GMT	http://www.blogger.com/img/logo-16.png	R:/XAMPP/htdocs/ciscoanswers/html/html/www.blogger.com/img/logo-16.png	(from http://aiubproblemsolver.blogspot.de/)
21:36:49	17708/17708	---M--	200	added ('OK')	image/gif	etag:%22v115%22	http://1.bp.blogspot.com/-jyICA3F7eOo/TbBE4YBgbpI/AAAAAAAAAEM/XU9sJQnzGvU/s1600/cctv.gif	R:/XAMPP/htdocs/ciscoanswers/html/html/1.bp.blogspot.com/-jyICA3F7eOo/TbBE4YBgbpI/AAAAAAAAAEM/XU9sJQnzGvU/s1600/cctv.gif	(from http://aiubproblemsolver.blogspot.de/)
21:36:51	34986/34986	---MC-	200	added ('OK')	text/css	date:Thu,%2031%20Oct%202013%2017:33:04%20GMT	http://www.blogger.com/static/v1/widgets/2356033831-widget_css_2_bundle.css	R:/XAMPP/htdocs/ciscoanswers/html/html/www.blogger.com/static/v1/widgets/2356033831-widget_css_2_bundle.css	(from http://aiubproblemsolver.blogspot.de/2013/09/cisco-it-essentials-v-50-final-exam.html)
21:36:52	61634/61634	---M-Z	200	added ('OK')	text/html	etag:%224940ad30-99b2-449d-b215-99e898f99880%22	http://aiubproblemsolver.blogspot.de/2013/07/cisco-it-essentials-v-5-chapter-12.html	R:/XAMPP/htdocs/ciscoanswers/html/html/aiubproblemsolver.blogspot.de/2013/07/cisco-it-essentials-v-5-chapter-12.html	(from http://aiubproblemsolver.blogspot.de/2013/09/cisco-it-essentials-v-50-final-exam.html)
